,sent,noun,adj,verb,others,label
10,Counterpart to Registration Rights Agreement,4,0,0,1,0
11,Governing Law. ,1,0,1,1,0
12,"Inc. registration and filing fees, (ii) all fees and expenses incurred in connection with compliance with state securities or blue sky laws (including reasonable fees and disbursements of not more than one counsel for the Underwriters or Holders for each such jurisdiction in connection with blue sky qualification of any Exchange Securities or Registrable Securities), (iii) all expenses of any Persons in preparing or assisting in preparing, word processing, printing and distributing any Registration Statement, any Prospectus and any amendments or supplements thereto, any underwriting agreements, securities sales agreements or other similar agreements and any other documents relating to the performance of and compliance with this Agreement, (iv) all rating agency fees, (v) all fees and disbursements relating to the qualification of the Indenture under applicable securities laws, (vi) the fees and disbursements of the Trustee and its counsel, (vii) the fees and disbursements of counsel for the Company and any Guarantor and, in the case of a Shelf Registration Statement, the reasonable fees and disbursements of one counsel for the Holders (which counsel shall be selected by the Majority Holders and which counsel may also be counsel for the Initial Purchasers) and (viii) the fees and disbursements of the independent public accountants of the Company and any Guarantor including the expenses of any special audits or “comfort” letters required by or incident to the performance of and compliance with this Agreement, but excluding fees and expenses of counsel to the Underwriters (other than fees and expenses set forth in clause (ii) above) or the Holders and underwriting discounts and commissions, brokerage commissions and transfer taxes, if any, relating to the sale or disposition of Registrable Securities by a Holder.",113,16,19,182,0
13,"(xiii) in the case of a Shelf Registration, make available for inspection by a representative of the Holders of the Registrable Securities (an “Inspector”),",9,1,1,21,0
14,No Inconsistent Agreements.,2,0,0,2,1
15,“Underwriter” shall have the meaning set forth in Section 3(e) hereof.,5,0,3,8,0
16,The Holders’ obligations to contribute pursuant to this Section 5 are several and not joint.,3,3,2,10,0
17,"Prospectus” shall mean the prospectus included in, or, pursuant to the rules and regulations of the Securities Act, deemed a part of, a Registration Statement, including any preliminary prospectus, and any such prospectus as amended or supplemented by any prospectus supplement, including a prospectus supplement with respect to the terms of the offering of any portion of the Registrable Securities covered by a Shelf Registration Statement, and by all other amendments and supplements to such prospectus, and in each case including any document incorporated by reference therein.",30,5,11,52,0
18,"(4) deliver such documents and certificates as may be reasonably requested by the Holders of a majority in principal amount of the Registrable Securities being sold or the Underwriters, and which are customarily delivered in underwritten offerings, to evidence the continued validity of the representations and warranties of the Company and any Guarantor made pursuant to clause (1) above and to evidence compliance with any customary conditions contained in an underwriting agreement; and",19,6,12,45,0
19,"If the Shelf Registration Statement, if required hereby, has become effective and thereafter either ceases to be effective or the Prospectus contained therein ceases to be usable, in each case whether or not permitted by this Agreement, at any time during the Shelf Effectiveness Period, and such failure to remain effective or usable exists for more than 60 days (whether or not consecutive), then the interest rate on the Registrable Securities will be increased by (i) 0.25% per annum for the first 90-day period commencing on the 61st day after such Shelf Registration Statement cease to be effective or the Prospectus ceases to be useable and (ii) an additional 0.25% per annum with respect to each subsequent 90-day period, up to a maximum increase of 1.00% per annum, in each case until and ending on such date that the Shelf Registration Statement has again become effective or the Prospectus again becomes usable.",39,19,22,95,0
20,Participation of Broker-Dealers in Exchange Offer,5,0,0,3,1
21,(ii) the dates of acceptance for exchange (which shall be a period of at least 20 Business Days from the date such notice is mailed),8,1,4,16,0
22,"(b) Each Holder agrees, severally and not jointly, to indemnify and hold harmless the Company, any Guarantor the Initial Purchasers and the other selling Holders, the directors of the Company and any Guarantor, each officer of the Company and any Guarantor who signed the Registration Statement and each Person, if any, who controls the Company, any Guarantor, any Initial Purchaser and any other selling Holder within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act to the same extent as the indemnity set forth in paragraph (a) above, but only with respect to any losses, claims, damages or liabilities that arise out of, or are based upon, any untrue statement or omission or alleged untrue statement or omission made in reliance upon and in conformity with any information relating to such Holder furnished to the Company in writing by such Holder expressly for use in any Registration Statement and any Prospectus.",50,7,15,108,0
23,REGISTRATION RIGHTS AGREEMENT,3,0,0,0,1
24,"Any amendments, modifications, supplements, waivers or consents pursuant to this Section 6(b) shall be by a writing executed by each of the parties hereto.",8,1,4,17,0
25," supplement to the Prospectus has been filed, (2) of any request by the SEC or any state securities authority for amendments and supplements to a Registration Statement or Prospectus or for additional information after the Registration Statement has become effective, (3) of the issuance by the SEC or any state securities authority of any stop order suspending the effectiveness of a Registration Statement or the initiation of any proceedings for that purpose, including the receipt by the Company of any notice of objection of the SEC to the use of a Shelf Registration Statement or any post-effective amendment thereto pursuant to Rule 401(g)(2) under the Securities Act, (4) if, between the applicable effective date of a Shelf Registration Statement and the closing of any sale of Registrable Securities covered thereby, the representations and warranties of the Company or any Guarantor contained in any underwriting agreement, securities sales agreement or other similar agreement, if any, relating to an offering of such Registrable Securities cease to be true and correct in all material respects or if the Company or any Guarantor receives any notification with respect to the suspension of the qualification of the Registrable Securities for sale in any jurisdiction or the initiation of any proceeding for such purpose, (5) of the happening of any event during the period a Registration Statement is effective that makes any statement made in such Registration Statement or the related Prospectus untrue in any material respect or that requires the making of any changes in such Registration Statement or Prospectus in order to make the statements therein not misleading and (6) of any determination by the Company or any Guarantor that a post-effective amendment to a Registration Statement or any amendment or supplement to the Prospectus would be appropriate;",105,23,21,177,0
26,"ADVANCED MICRO DEVICES, INC.     ",4,0,0,3,1
27,3. Registration Procedures.,2,0,0,3,0
28,Rajesh Kapadia,2,0,0,0,0
29,Securities” shall have the meaning set forth in the preamble.,3,0,3,6,0
30,Registration Under the Securities Act,3,0,0,2,1
31,"provided, however,",0,0,1,3,0
32,"As an inducement to the Initial Purchasers to enter into the Purchase Agreement, the Company has agreed to provide to the Initial Purchasers and their direct and indirect transferees the registration rights set forth in this Agreement.",11,2,6,20,0
33,Guarantor” shall mean any subsidiary of the Company that provides a Subsidiary Guarantee under the Indenture after the date of this Agreement.,8,0,3,13,0
34,"Person” shall mean an individual, partnership, limited liability company, corporation, trust or unincorporated organization, or a government or agency or political subdivision thereof.",11,3,2,14,0
35,Schedule 1,1,0,0,1,0
36,(i) that the Exchange Offer is being made pursuant to this Agreement and that all Registrable Securities validly tendered and not properly withdrawn will be accepted for exchange;,6,1,8,16,0
37,For itself and on behalf of the several Initial Purchasers     ,3,1,0,7,0
38,"“comfort” letters in connection with underwritten offerings, including but not limited to financial information contained in any preliminary prospectus or Prospectus and",7,3,3,12,0
39,“Shelf Request” shall have the meaning set forth in Section 2(b) hereof.,6,0,3,8,0
40,"(iii) in the case of a Shelf Registration, furnish to each Holder of Registrable Securities, to counsel for the Initial Purchasers, to counsel for such Holders and to each Underwriter of an Underwritten Offering of Registrable Securities, if any, without charge, as many copies of each Prospectus or preliminary prospectus, and any amendment or supplement thereto, as such Holder, counsel or Underwriter may reasonably request in order to facilitate the sale or other disposition of the Registrable Securities thereunder; and the Company and any Guarantor consent to the use of such Prospectus, preliminary prospectus and any amendment or supplement thereto in accordance with applicable law by each of the Holders of Registrable Securities and any such Underwriters in connection with the offering and sale of the Registrable Securities covered by and in the manner described in such Prospectus, preliminary prospectus or any amendment or supplement thereto in accordance with applicable law;",55,15,7,89,0
41,"(e) Without limiting the remedies available to the Initial Purchasers and the Holders, the Company and any Guarantor acknowledge that any failure by the Company or any Guarantor to comply with their obligations under Section 2(a) and Section 2(b) hereof may result in material irreparable injury to the Initial Purchasers or the Holders for which there is no adequate remedy at law, that it will not be possible to measure damages for such injuries precisely and that, in the event of any such failure, the Initial Purchasers or any Holder may obtain such relief as may be required to specifically enforce the Company’s and any Guarantor’s obligations under Section 2(a) and Section 2(b) hereof.",35,8,15,73,0
42,"IN WITNESS WHEREOF, the undersigned has executed this counterpart as of [            ], 2009.          ",3,1,2,13,0
43,Governing Law. ,1,0,1,1,0
44,"(viii) in the case of a Shelf Registration, unless any Registrable Securities shall be in book-entry only form, cooperate with the Holders of Registrable Securities to facilitate the timely preparation and delivery of certificates representing Registrable Securities to be sold and not bearing any restrictive legends and enable such Registrable Securities to be issued in such denominations and registered in such names (consistent with the provisions of the Indenture) as such Holders may reasonably request at least two Business Days prior to the closing of any sale of Registrable Securities;",30,7,14,48,0
45," Exchange Offer, may be given by the Holders of a majority of the outstanding principal amount of Registrable Securities subject to such Exchange Offer.",9,4,3,11,0
46,"(vi) use their commercially reasonable efforts to obtain the withdrawal of any order suspending the effectiveness of a Registration Statement or, in the case of a Shelf Registration, the resolution of any objection of the SEC pursuant to Rule 401(g)(2), including by filing an amendment to such Shelf Registration Statement on the proper form, at the earliest practicable date and provide prompt notice to each Holder of the withdrawal of any such order or such resolution;",26,8,6,44,0
47,"If the Company and any Guarantor shall give any notice to suspend the disposition of Registrable Securities pursuant to a Registration Statement, the Company and any Guarantor shall extend the period during which such Registration Statement shall be maintained effective pursuant to this Agreement by the number of days during the period from and including the date of the giving of such notice to and including the date when the Holders of such Registrable Securities shall have received copies of the supplemented or amended Prospectus necessary to resume such dispositions.",28,8,15,41,0
48,"Registration Expenses” shall mean any and all expenses incident to performance of or compliance by the Company and any Guarantor with this Agreement, including without limitation: (i) all SEC, stock exchange or Financial Industry Regulatory Authority,",17,0,3,24,0
49,"Securities Act” shall mean the Securities Act of 1933, as amended from time to time.",6,0,3,9,0
50,"any Underwriter participating in any disposition pursuant to such Shelf Registration Statement, any attorneys and accountants designated by a majority of the Holders of Registrable Securities to be included in such Shelf Registration and any attorneys and accountants designated by ",15,3,5,18,0
51,  Schedule 1  ,1,0,0,3,0
52,"Issue Date” shall mean November 30, 2009.",3,0,2,6,0
53,"IN WITNESS WHEREOF, the undersigned has executed this counterpart as of [            ], 2009.",3,1,2,12,0
54,"provided, however",0,0,1,2,0
55,"(xvi) so long as any Registrable Securities remain outstanding, cause each Guarantor to execute a counterpart to this Agreement in the form attached hereto as Annex A and to deliver such counterpart to the Initial Purchasers no later than five Business Days following the execution thereof.",15,2,6,27,0
56,Financial Officer,1,1,0,0,0
57,"In the event that the Company and any Guarantor are required to file a Shelf Registration Statement pursuant to clause (iii) of the preceding sentence, the Company and any Guarantor shall use their reasonable best efforts to file and have become effective both an Exchange Offer Registration Statement pursuant to Section 2(a) with respect to all Registrable Securities and a Shelf Registration Statement (which may be a combined Registration Statement with the Exchange Offer Registration Statement) with respect to offers and sales of Registrable Securities held by the Initial Purchasers after completion of the Exchange Offer.",39,6,12,48,0
58,Exchange Offer Registration” shall mean a registration under the Securities Act effected pursuant to Section 2(a) hereof.,9,0,3,9,0
59,(i) accept for exchange Registrable Securities or portions thereof validly tendered and not properly withdrawn pursuant to the Exchange Offer; and,6,1,3,14,0
60,  Annex A  ,2,0,0,2,0
61,Shelf Additional Interest Date” shall have the meaning set forth in Section 2(d) hereof.,7,0,3,8,0
62,(a) The Staff has taken the position that any broker-dealer that receives Exchange Securities for its own account in the Exchange Offer in exchange for Securities that were acquired by such broker-dealer as a result of market-making or other trading activities (a “Participating Broker-Dealer”) may be deemed to be an “underwriter” within the meaning of the Securities Act and must deliver a prospectus meeting the requirements of the Securities Act in connection with any resale of such Exchange Securities.,32,4,13,47,0
63,"In any such Underwritten Offering, the investment bank or investment banks and manager or managers (each an “Underwriter”) that will administer the offering will be selected by the Holders of a majority in principal amount of the Registrable Securities included in such offering.",16,3,6,24,0
64,"(iii) that any Registrable Security not tendered will remain outstanding and continue to accrue interest but will not retain any rights under this Agreement, except as otherwise specified herein;",6,1,8,18,0
65,By:          Name:     ,1,0,0,5,0
66,Counterpart to Registration Rights Agreement  ,4,0,0,2,0
67,"IN WITNESS WHEREOF, the undersigned has executed this counterpart as of [            ], 2009.          ",3,1,2,13,0
68,"The Company and any Guarantor understand that it is the Staff’s position that if the Prospectus contained in the Exchange Offer Registration Statement includes a plan of distribution containing a statement to the above effect and the means by which Participating Broker-Dealers may resell the Exchange Securities, without naming the Participating Broker-Dealers or specifying the amount of Exchange Securities owned by them, such Prospectus may be delivered by Participating Broker-Dealers (or, to the extent permitted by law, made available to purchasers) to satisfy their prospectus delivery obligation under the Securities Act in connection with resales of Exchange Securities for their own accounts, so long as the Prospectus otherwise meets the requirements of the Securities Act.",47,4,17,62,0
69,Registration Procedures,2,0,0,0,1
70,Indemnified Person” shall have the meaning set forth in Section 5(c) hereof.,5,0,3,8,0
71,"In the case of a Shelf Registration Statement, the Company may require each Holder of Registrable Securities to furnish to the Company such information regarding such Holder and the proposed disposition by such Holder of such Registrable Securities as the Company and any Guarantor may from time to time reasonably request in writing.",20,4,7,24,0
72,"(iv) that any Holder electing to have a Registrable Security exchanged pursuant to the Exchange Offer will be required to (A) surrender such Registrable Security, together with the appropriate letters of transmittal, to the institution and at the address and in the manner specified in the notice, or (B) effect such exchange otherwise in compliance with the applicable procedures of the depositary for such Registrable Security, in each case prior to the close of business on the last Exchange Date; and",28,7,7,52,0
73,"J.P. Morgan Securities Inc. (“JPMorgan”), as representative of the several Initial Purchasers listed on Schedule 1 hereto (the “Initial Purchasers”).",12,1,1,16,0
74,By    /s/,0,0,0,3,0
75,"The Exchange Offer shall not be subject to any conditions, other than that the Exchange Offer does not violate any applicable law or applicable interpretations of the Staff.",8,4,4,14,0
76,"provided, however,",0,0,1,3,0
77,"(f) The Company represents, warrants and covenants that it (including its agents and representatives) will not prepare, make, use, authorize, approve or refer to any Free Writing Prospectus.",9,0,8,21,0
78,"provided, however",0,0,1,2,0
79,"(c) The Initial Purchasers shall have no liability to the Company, any Guarantor or any Holder with respect to any request that they may make pursuant to Section 4(b) above.",10,1,4,21,0
80,Trustee” shall mean the trustee with respect to the Securities under the Indenture.,5,0,2,8,0
81,The Company and any Guarantor agree to use their commercially reasonable efforts to keep the Shelf Registration Statement continuously effective until the second anniversary of the Issue Date or such shorter period that will terminate when all the Registrable Securities covered by the Shelf Registration Statement have been sold pursuant to the Shelf Registration Statement (the “Shelf Effectiveness Period”).,22,6,9,27,0
82,"(ix) in the case of a Shelf Registration, upon the occurrence of any event contemplated by Section 3(a)(v)(5) hereof, use their commercially reasonable efforts to prepare and file with the SEC a supplement or post-effective amendment to such Shelf Registration Statement or the related Prospectus or any document incorporated therein by ",16,6,5,32,0
83,"(a) The Company and any Guarantor, jointly and severally, agree to indemnify and hold harmless each Initial Purchaser and each Holder, their respective affiliates, directors and officers and each Person, if any, who controls any Initial Purchaser or any Holder within the meaning of Section 15 of the Securities Act or Section 20 of the Exchange Act, from and against any and all losses, claims, damages and liabilities (including, without limitation, legal fees and other expenses incurred in connection with any suit, action or proceeding or any claim asserted, as such fees and expenses are incurred promptly following receipt of a request therefor), joint or several, that arise out of, or are based upon, (1) any untrue statement or alleged untrue statement of a material fact contained in any Registration Statement or any omission or alleged omission to state therein a material fact required to be stated therein or necessary in order to make the statements therein not misleading, or (2) any untrue statement or alleged untrue statement of a material fact contained in any Prospectus, any Free Writing Prospectus used in violation of this Agreement or any “issuer information” (“Issuer Information”) filed or required to be filed pursuant to Rule 433(d) under the Securities Act, or any omission or alleged omission to state therein a material fact necessary in order to make the statements therein, in the light of the circumstances under which they were made, not misleading, in each case except insofar as such losses, claims, damages or liabilities arise out of, or are based upon, any untrue statement or omission or alleged untrue statement or omission made in reliance upon and in conformity with any information relating to any Initial Purchaser or information relating to any Holder furnished to the Company in writing through JPMorgan or any selling Holder, respectively expressly for use therein.",93,20,42,200,0
84,"The Company and the Initial Purchasers are parties to the Purchase Agreement dated November 23, 2009 (the “Purchase Agreement”), which provides for the sale by the Company to the Initial Purchasers of $500,000,000 aggregate principal amount of the Company’s 8.125% Senior Notes due 2017",21,2,3,28,0
85,“Inspector” shall have the meaning set forth in Section 3(a)(xiii) hereof.,4,0,3,9,0
86,"hereof, has not become effective on or prior to the 270th day after the Issue Date (the “Target Registration Date”), the interest rate on the Registrable Securities will be increased by (i) 0.25% per annum for the first 90-day period immediately following the Target Registration Date and (ii) an additional 0.25% per annum with respect to each subsequent 90-day period, in each case until the Exchange Offer is completed or the Shelf Registration Statement, if required hereby, becomes effective, up to a maximum increase of 1.00% per annum.",32,7,10,62,0
87,Citadel Securities LLC    ,3,0,0,1,0
88,Entire Agreement; Severability.,3,0,0,2,1
89,"As soon as practicable after the last Exchange Date, the Company and any Guarantor shall:",4,2,1,10,0
90,SEC” shall mean the United States Securities and Exchange Commission.,6,0,2,4,0
91,By:    /s/ Thomas Seifert  Name:,4,0,0,5,0
92,Annex A  ,2,0,0,1,0
93,Such suspensions shall not exceed 45 days in any three-month period or 90 days in any twelve-month period.,7,1,2,13,0
94,"(xi) obtain a CUSIP number for all Exchange Securities or Registrable Securities, as the case may be, not later than the initial effective date of a Registration Statement;",9,3,3,18,0
95,"The Company and any Guarantor shall commence the Exchange Offer by mailing the related Prospectus, appropriate letters of transmittal and other accompanying documents to each Holder stating, in addition to such other disclosures as are required by applicable law, substantially the following:",12,7,7,20,0
96,“Purchase Agreement” shall have the meaning set forth in the preamble.,5,0,3,6,0
97,Rajesh Kapadia     Authorized Signatory     ,4,0,0,2,0
98,"The indemnity and contribution provisions contained in this Section 5 shall remain operative and in full force and effect regardless of (i) any termination of this Agreement, (ii) any investigation made by or on behalf of the Initial Purchasers or any Holder or any Person controlling any Initial Purchaser or any Holder, or by or on behalf of the Company or any Guarantor or the officers or directors of or any Person controlling the Company or any Guarantor, (iii) acceptance of any of the Exchange Securities and (iv) any sale of Registrable Securities pursuant to a Shelf Registration Statement.",35,3,6,72,0
99,Target Registration Date” shall have the meaning set forth in Section 2(d) hereof.,6,0,3,8,0
100, they are incurred.,0,0,2,3,0
101,Citadel Securities LLC    ,3,0,0,1,0
102,J.P. Morgan Securities Inc.  ,4,0,0,1,0
103,Exchange Offer” shall mean the exchange offer by the Company and any Guarantor of Exchange Securities for Registrable Securities pursuant to Section 2(a) hereof.,12,1,2,13,0
104,Exchange Dates” shall have the meaning set forth in Section 2(a)(ii) hereof.,6,0,3,7,0
105,Participating Broker-Dealers” shall have the meaning set forth in Section 4(a) hereof.,5,0,4,9,0
106,"(ii) prepare and file with the SEC such amendments and post-effective amendments to each Registration Statement as may be necessary to keep such Registration Statement effective for the applicable period in accordance with Section 2 hereof and cause each Prospectus to be supplemented by any required prospectus supplement and, as so supplemented, to be filed pursuant to Rule 424 under the Securities Act; and keep each Prospectus current during the period described in Section 4(3) of and Rule 174 under the Securities Act that is applicable to transactions by brokers or dealers with respect to the Registrable Securities or Exchange Securities;",31,12,14,55,0
107,"Notwithstanding the provisions of this Section 5, in no event shall a Holder be required to contribute any amount in excess of the amount by which the total price at which the Securities or Exchange Securities sold by such Holder exceeds the amount of any damages that such Holder has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission.",19,7,11,35,0
108,Initial Purchasers  ,2,0,0,1,0
109,Exhibit 10.1,1,0,0,1,0
110,"IN WITNESS WHEREOF, the undersigned has executed this counterpart as of [            ], 2009.          ",3,1,2,13,0
111,"“Business Day” shall mean any day that is not a Saturday, Sunday or other day on which commercial banks in New York City are authorized or required by law to remain closed.",12,3,7,14,0
112,Schedule 1  ,1,0,0,2,0
113,"Upon the written request of Holders of Registrable Securities, the Company and any Guarantor agree to furnish to such Holders copies of any such supplement or amendment promptly after its being used or filed with the SEC.",11,2,6,20,0
114,"The undersigned hereby absolutely, unconditionally and irrevocably agrees as a Guarantor (as defined in the Registration Rights Agreement, dated as of November 30, 2009 by and among the Company, a Delaware corporation, and J.P. Morgan Securities Inc., on behalf of itself and the other Initial Purchasers) to be bound by the terms and provisions of such Registration Rights Agreement.  ",20,3,5,42,0
115,"“Trust Indenture Act” shall mean the Trust Indenture Act of 1939, as amended from time to time.",9,0,3,9,0
116,"(v) that any Holder will be entitled to withdraw its election, not later than the close of business on the last Exchange Date, by (A) sending to the institution and at the address specified in the notice, a telegram, telex, facsimile transmission or letter setting forth the name of such Holder, the principal amount of Registrable Securities delivered ",19,4,8,38,0
117,(the “Securities”).,1,0,0,6,0
118,By:          Name:     ,1,0,0,5,0
119,"Indenture” shall mean the Indenture relating to the Securities dated as of November 30, 2009 among the Company, the Guarantors from time to time party thereto and Wells Fargo Bank, National Association, as trustee, and as the same may be amended from time to time in accordance with the terms thereof. ",19,2,7,31,0
120,Third Party Beneficiaries.,3,0,0,1,1
121,"The undersigned hereby absolutely, unconditionally and irrevocably agrees as a Guarantor (as defined in the Registration Rights Agreement, dated as of November 30, 2009 by and among the Company, a Delaware corporation, and J.P. Morgan Securities Inc., on behalf of itself and the other Initial Purchasers) to be bound by the terms and provisions of such Registration Rights Agreement.  ",20,3,5,42,0
122,"No Indemnifying Person shall, without the written consent of the Indemnified Person, effect any settlement of any pending or threatened proceeding in respect of which any Indemnified Person is or could have been a party and indemnification could have been sought hereunder by such Indemnified Person, unless such settlement (A) includes an unconditional release of such Indemnified Person, in form and substance reasonably satisfactory to such Indemnified Person, from all liability on claims that are the subject matter of such proceeding and (B) does not include any statement as to or any admission of fault, culpability or a failure to act by or on behalf of any Indemnified Person.",34,9,20,59,0
123,Registration Under the Securities Act. ,3,0,0,3,0
124,A Shelf Registration Statement pursuant to Section 2(b) hereof will not be deemed to have become effective unless it has been declared effective by the SEC or is automatically effective upon filing with the SEC as provided by Rule 462 under the Securities Act.,10,4,11,22,0
125,(c) The Company and any Guarantor shall pay all Registration Expenses in connection with any registration pursuant to Section 2(a) or Section 2(b) hereof.,10,1,2,18,0
126,By:          Name:     ,1,0,0,5,0
127,Initial Purchasers,2,0,0,0,0
128,Senior Vice President and Chief,3,1,0,1,0
129,Issuer Information” shall have the meaning set forth in Section 5(a) hereof.,5,0,3,8,0
130, for exchange and a statement that such Holder is withdrawing its election to have such Securities exchanged or (B) effecting such withdrawal in compliance with the applicable procedures of the depositary for the Registrable Securities.,12,4,5,19,0
131,"(xv) in the case of a Shelf Registration, enter into such customary agreements and take all such other reasonable actions in connection therewith (including those reasonably requested by the Holders of a majority in principal amount of the Registrable Securities covered by the Shelf Registration Statement) in order to expedite or facilitate the disposition of such Registrable Securities including, but not limited to, an Underwritten Offering and in such connection, (1) to the extent possible, make such representations and warranties to the Holders and any Underwriters of such Registrable Securities with respect to the business of the Company and its subsidiaries and the Registration Statement, Prospectus and documents incorporated by reference or deemed incorporated by reference, if any, in each case, in form, substance and scope as are customarily made by issuers to underwriters in underwritten offerings and confirm the same if and when requested, (2) use commercially reasonable efforts to obtain opinions of counsel to the Company and any Guarantor (which counsel and opinions, in form, scope and substance, shall be reasonably satisfactory to the Holders and such Underwriters and their respective counsel), addressed to each selling Holder and Underwriter of Registrable Securities, covering the matters customarily covered in opinions requested in underwritten offerings, (3) use commercially reasonable efforts to obtain “comfort” letters from the independent certified public accountants of the Company and any Guarantor (and, if necessary, any other certified public accountant of any subsidiary of the Company or any Guarantor, or of any business acquired by the Company or any Guarantor for which financial statements and financial data are or are required to be included in the Registration Statement) addressed to each selling Holder (to the extent permitted by applicable professional standards) and Underwriter of Registrable Securities, such letters to be in customary form and covering matters of the type customarily covered in ",95,31,40,182,0
132,Exhibit 10.1 ,1,0,0,1,1
133,"agrees that, upon receipt of any notice from the Company and any Guarantor of the happening of any event of the kind described in Section 3(a)(v)(3) or 3(a)(v)(5) hereof, such Holder will forthwith discontinue disposition of Registrable Securities pursuant to the Shelf Registration Statement until such Holder’s receipt of the copies of the supplemented or amended Prospectus contemplated by Section 3(a)(ix) hereof and, if so directed by the Company and any Guarantor such Holder will deliver to the Company and any Guarantor all copies in its possession, other than permanent file copies then in such Holder’s possession, of the Prospectus covering such Registrable Securities that is current at the time of receipt of such notice.",43,11,11,63,0
134,"(ii) deliver, or cause to be delivered, to the Trustee for cancellation all Registrable Securities or portions thereof so accepted for exchange by the Company and issue, and cause the Trustee to promptly authenticate and deliver to each Holder, Exchange Securities equal in principal amount to the principal amount of the Registrable Securities tendered by such Holder. ",17,4,9,34,0
135,No Person guilty of fraudulent misrepresentation (within the meaning of Section 11(f) of the Securities Act) shall be entitled to contribution from any Person who was not guilty of such fraudulent misrepresentation.,9,5,4,19,0
136,Thomas Seifert,2,0,0,0,0
137,"The Company and any Guarantor further agree to supplement or amend the Shelf Registration Statement and the related Prospectus if required by the rules, regulations or instructions applicable to the registration form used by the Company for such Shelf Registration Statement or by the Securities Act or by any other rules and regulations thereunder or if reasonably requested by a Holder of Registrable Securities with respect to information relating to such Holder, and to use their commercially reasonable efforts to cause any such amendment to become effective, if required, and such Shelf Registration Statement and Prospectus to become usable as soon as thereafter practicable.",31,11,13,54,0
138,Initial Purchasers  ,2,0,0,1,0
139,Following the cure of all Registration Defaults relating to any ,3,0,2,5,0
140,"Shelf Registration Statement” shall mean a “shelf” registration statement of the Company and any Guarantor that covers all or a portion of the Registrable Securities (but no other securities unless approved by a majority of the Holders whose Registrable Securities are to be covered by such Shelf Registration Statement) on an appropriate form under Rule 415 under the Securities Act, or any similar rule that may be adopted by the SEC, and all amendments and supplements to such registration statement, including post-effective amendments, in each case including the Prospectus contained therein or deemed a part thereof, all exhibits thereto and any document incorporated by reference therein.",36,9,15,59,0
141,Indemnification and Contribution.,2,0,0,2,0
